col1 col2 col3 col4
FeIIa 0.204901778151 0.1014467376 0.261028913714
FeIIb 0.15529134759 0.0287005865348 0.0853616027533
FeIIc 0.119268727267 0.115948020629 0.117547109355
MnIIa 0.0304334514105 0.0334142160054 0.0327470739339
MnIIb 0.035297807125 0.036074672232 0.0365559337322
MgIIa 0.0694271336184 0.150008661844 0.105143154409
MgIIb 0.0737229530341 0.146357626193 0.15041525885
MgIa 0.10022802709 0.245494983341 0.223176412753
