col1 col2
-0.247544250935 0.0
2346.13112092 0.0
1.95012569658 0.0
-0.204240706486 0.0
2377.11500693 0.0
1.9619293197 0.0
-0.375459118776 0.0
2385.03413024 0.0
1.8891602415 0.0
-0.250204758301 0.0
2588.97858568 0.0
1.56152341047 0.0
-0.359213434177 0.0
2602.7791304 0.0
-1.59156522877 0.0
-0.560522130218 0.0
2799.05131498 0.0
2.22355062677 0.0
-0.473669426701 0.0
2805.79628003 0.0
2.37341000228 0.0
-0.120868531683 0.0
2855.08811011 0.0
2.153043037 0.0
