col1 col2
-0.418152293511 0.0
2346.21232105 0.0
-1.26335544378 0.0
-0.261161342967 0.0
2376.89017956 0.0
1.62358450564 0.0
-0.532099792563 0.0
2384.69818416 0.0
1.57117228949 0.0
-0.324742773971 0.0
2588.57602157 0.0
-1.44450882684 0.0
-0.453196583654 0.0
2602.15647115 0.0
1.94144570693 0.0
-0.689629713061 0.0
2798.61825792 0.0
1.78683978721 0.0
-0.622303349544 0.0
2805.81185091 0.0
-1.65755820876 0.0
-0.144187647056 0.0
2854.95075394 0.0
1.90871903991 0.0
