col1 col2
-0.2708632783807903 0.0
2346.007015134404 0.0
-2.2472664143554173 0.0
-0.2032052344379603 0.0
2376.1378726073976 0.0
2.0045462530461693 0.0
-0.35444103329741283 0.0
2384.639622669824 0.0
-2.3394387525138733 0.0
-0.21864467062431467 0.0
2588.299609334604 0.0
-2.2153588736515304 0.0
-0.3195870694551931 0.0
2602.219771352483 0.0
-1.5926563542525394 0.0
-0.5165027155768346 0.0
2798.526262076522 0.0
-2.21440469214755 0.0
-0.4546896457599895 0.0
2805.3407781146198 0.0
2.2684974602982284 0.0
-0.12386910176433602 0.0
2855.2638559825155 0.0
1.7535026455948541 0.0
