col1 col2
1577.9 8.47904860037e-15
1579.44 1.37972499371e-14
1580.98 1.60899113054e-14
1582.52 1.55191089864e-14
1584.06 1.30224653754e-14
1585.6 9.43664770368e-15
1587.14 6.24946276152e-15
1588.68 4.76456769777e-15
1590.22 4.60073395968e-15
1591.76 4.59378031665e-15
1593.3 4.3949224218e-15
1594.84 3.92115572063e-15
1596.38 3.22554845149e-15
1597.92 2.50066146568e-15
1599.46 2.00060132436e-15
1601.0 1.80594035391e-15
1602.54 1.69297590465e-15
1604.08 1.49439830049e-15
1605.62 1.20317436426e-15
1607.16 8.77427816828e-16
1608.7 6.13879163001e-16
1610.24 4.46478074663e-16
1611.78 3.81928175673e-16
1613.32 4.01869639991e-16
1614.86 4.6200051612e-16
1616.4 5.10296942137e-16
1617.94 5.15813989894e-16
1619.48 4.85397723011e-16
1621.02 4.3305866103e-16
1622.56 3.71305364402e-16
1624.1 3.17067980588e-16
1625.64 2.79063361096e-16
1627.18 2.47203722308e-16
1628.72 2.1269768742e-16
1630.26 1.81584749476e-16
1631.8 1.78289069928e-16
1633.34 2.20184134818e-16
1634.88 2.86473100411e-16
1636.42 3.45120813512e-16
1637.96 3.70570308839e-16
1639.5 3.49004116054e-16
1641.04 2.90335302455e-16
1642.58 2.27891222622e-16
1644.12 1.9822029516e-16
1645.66 2.10349492026e-16
1647.2 2.40603634063e-16
1648.74 2.57718405072e-16
1650.28 2.47628480451e-16
1651.82 2.11697837093e-16
1653.36 1.63717240387e-16
1654.9 1.24896291968e-16
1656.44 1.09048043763e-16
1657.98 1.20678605005e-16
1659.52 1.62158901833e-16
1661.06 2.23349096987e-16
1662.6 2.8386039512e-16
1664.14 3.27107708512e-16
1665.68 3.4021544491e-16
1667.22 3.21344931288e-16
1668.76 2.74719641715e-16
1670.3 2.16115199157e-16
1671.84 1.73602652369e-16
1673.38 1.58310629265e-16
1674.92 1.62346463447e-16
1676.46 1.82084328162e-16
1678.0 2.14279964527e-16
1679.54 2.45290596453e-16
1681.08 2.63655631361e-16
1682.62 2.62175434048e-16
1684.16 2.43440656708e-16
1685.7 2.17186234179e-16
1687.24 1.90731562995e-16
1688.78 1.72020952947e-16
1690.32 1.64611220918e-16
1691.86 1.69858869701e-16
1693.4 1.81725182796e-16
1694.94 1.95039616945e-16
1696.48 2.07398797781e-16
1698.02 2.11827563595e-16
1699.56 2.03941097761e-16
1701.1 1.80967769809e-16
1702.64 1.45041746968e-16
1704.18 1.09979342129e-16
1705.72 9.10518016201e-17
1707.26 8.92244927094e-17
1708.8 1.02163399169e-16
1710.34 1.21439605928e-16
1711.88 1.33158641018e-16
1713.42 1.31727450103e-16
1714.96 1.1684337119e-16
1716.5 9.38303188805e-17
1718.04 7.21455842238e-17
1719.58 5.48882934756e-17
1721.12 4.66006234167e-17
1722.66 5.00532999406e-17
1724.2 5.9581572124e-17
1725.74 7.22288352041e-17
1727.28 8.52422680163e-17
1728.82 9.34170354144e-17
1730.36 9.45055570963e-17
1731.9 9.41289651097e-17
1733.44 9.81849835455e-17
1734.98 1.1397069788e-16
1736.52 1.42868987156e-16
1738.06 1.77395963042e-16
1739.6 2.0960525504e-16
1741.14 2.27132812602e-16
