col1 col2
1584.2 1.46001400626e-15
1585.74 2.30172183345e-15
1587.28 2.76232472678e-15
1588.82 2.83155261694e-15
1590.36 2.81567007768e-15
1591.9 3.05435634169e-15
1593.44 3.54782448492e-15
1594.98 3.99302449403e-15
1596.52 4.07468148657e-15
1598.06 3.77140245244e-15
1599.6 3.26493316781e-15
1601.14 2.71645700152e-15
1602.68 2.18380028652e-15
1604.22 1.73696224034e-15
1605.76 1.41048450117e-15
1607.3 1.12385608719e-15
1608.84 8.9348276714e-16
1610.38 8.02045733834e-16
1611.92 8.25125145673e-16
1613.46 8.79929201962e-16
1615.0 9.00221151991e-16
1616.54 8.61926436298e-16
1618.08 7.98155060465e-16
1619.62 7.48446328993e-16
1621.16 7.247624507e-16
1622.7 7.33013292298e-16
1624.24 7.45011008953e-16
1625.78 7.22966453971e-16
1627.32 6.80986832609e-16
1628.86 6.36368573395e-16
1630.4 5.91092811453e-16
1631.94 5.61811202457e-16
1633.48 5.38594672077e-16
1635.02 5.0534214083e-16
1636.56 4.51185519519e-16
1638.1 3.73701730921e-16
1639.64 3.00879325104e-16
1641.18 2.59582783906e-16
1642.72 2.50302160293e-16
1644.26 2.60372051957e-16
1645.8 2.70530290451e-16
1647.34 2.67331072591e-16
1648.88 2.60097317332e-16
1650.42 2.59920143542e-16
1651.96 2.74716640269e-16
1653.5 3.03844287804e-16
1655.04 3.33768037647e-16
1656.58 3.5135070862e-16
1658.12 3.52445787985e-16
1659.66 3.40328242665e-16
1661.2 3.21284014264e-16
1662.74 2.99631502561e-16
1664.28 2.74831887021e-16
1665.82 2.44001717379e-16
1667.36 2.04782904256e-16
1668.9 1.62793797069e-16
1670.44 1.31179179031e-16
1671.98 1.14430018846e-16
1673.52 1.10419392801e-16
1675.06 1.29111297692e-16
1676.6 1.74624740944e-16
1678.14 2.27545203333e-16
1679.68 2.61815292489e-16
1681.22 2.65081583684e-16
1682.76 2.38724340138e-16
1684.3 1.90331156829e-16
1685.84 1.37660746773e-16
1687.38 1.00070768658e-16
1688.92 8.95080169894e-17
1690.46 1.05666098424e-16
1692.0 1.38253010987e-16
1693.54 1.78404015592e-16
1695.08 2.14070187404e-16
1696.62 2.31638585637e-16
1698.16 2.2599877626e-16
1699.7 1.99305370775e-16
1701.24 1.63029996092e-16
1702.78 1.31426812676e-16
1704.32 1.08556238306e-16
1705.86 9.31351800225e-17
1707.4 8.77426347532e-17
1708.94 8.87959127734e-17
1710.48 9.24975581e-17
1712.02 9.84526749924e-17
1713.56 1.03233125558e-16
1715.1 1.07431638534e-16
1716.64 1.10062113574e-16
1718.18 1.14022249318e-16
1719.72 1.25680031709e-16
1721.26 1.37718917051e-16
1722.8 1.43369318192e-16
1724.34 1.43937893979e-16
1725.88 1.40645144128e-16
1727.42 1.33659021126e-16
1728.96 1.25207216633e-16
1730.5 1.1847822174e-16
1732.04 1.14253401779e-16
1733.58 1.11276992272e-16
1735.12 1.0644438501e-16
1736.66 1.04127490093e-16
1738.2 1.09275974687e-16
1739.74 1.20514254761e-16
1741.28 1.31970529591e-16
1742.82 1.35613280321e-16
1744.36 1.28744634509e-16
1745.9 1.13058899217e-16
1747.44 9.27932480194e-17
1748.98 7.33304690174e-17
1750.52 5.97678132653e-17
1752.06 5.48991649151e-17
1753.6 5.69607071035e-17
1755.14 6.20403256984e-17
1756.68 6.76698991245e-17
1758.22 7.50621173923e-17
1759.76 8.51428141226e-17
1761.3 9.54235991236e-17
1762.84 1.02974578137e-16
1764.38 1.04575568528e-16
1765.92 9.85060395981e-17
1767.46 8.59042684998e-17
1769.0 7.17767094422e-17
1770.54 6.38806264637e-17
1772.08 6.61394722931e-17
1773.62 7.73078719647e-17
1775.16 8.9978172393e-17
1776.7 9.62284547122e-17
1778.24 9.4321731624e-17
1779.78 8.5676765901e-17
1781.32 7.28041790297e-17
1782.86 6.08237832989e-17
1784.4 5.4654320431e-17
1785.94 5.67403918305e-17
1787.48 6.68506670747e-17
1789.02 7.99094609959e-17
1790.56 9.00873935789e-17
1792.1 9.38193588586e-17
1793.64 8.77630583704e-17
1795.18 7.25827264056e-17
1796.72 5.60509293985e-17
1798.26 4.49475606738e-17
1799.8 4.03255929965e-17
1801.34 4.06305175504e-17
1802.88 4.35600415104e-17
1804.42 4.7084459341e-17
1805.96 4.93872154874e-17
1807.5 4.94843871461e-17
1809.04 4.74549908927e-17
1810.58 4.63655438023e-17
1812.12 4.92403032271e-17
1813.66 5.77750699112e-17
1815.2 7.22345811299e-17
1816.74 9.18110630337e-17
1818.28 1.12671822287e-16
