col1 col2
1591.3465 4.02164930232e-15
1592.8899 5.22373899465e-15
1594.4334 6.14685324213e-15
1595.9769 6.56781838236e-15
1597.5204 6.47783203624e-15
1599.0639 5.97213381595e-15
1600.6074 5.1768530368e-15
1602.151 4.23137412931e-15
1603.6945 3.25719734275e-15
1605.2381 2.38091444531e-15
1606.7816 1.85050157437e-15
1608.3252 1.61762572197e-15
1609.8687 1.44952304989e-15
1611.4123 1.33443494351e-15
1612.9559 1.2518947278e-15
1614.4995 1.15622832588e-15
1616.0431 1.05846128904e-15
1617.5867 9.61577965172e-16
1619.1304 8.34838047888e-16
1620.674 7.16689793869e-16
1622.2176 6.50973311167e-16
1623.7613 6.31887187753e-16
1625.305 6.37383326893e-16
1626.8486 6.28524326856e-16
1628.3923 5.84464303404e-16
1629.936 5.10974716302e-16
1631.4797 4.2042217497e-16
1633.0234 3.41431730378e-16
1634.5671 2.98087441903e-16
1636.1108 3.00169667259e-16
1637.6546 3.22853736141e-16
1639.1983 3.38511193154e-16
1640.7421 3.58751805739e-16
1642.2858 4.02879606869e-16
1643.8296 4.61669216263e-16
1645.3734 5.15238764506e-16
1646.9172 5.40418001432e-16
1648.4609 5.25009815209e-16
1650.0047 4.78458498348e-16
1651.5486 4.14846814741e-16
1653.0924 3.50508715744e-16
1654.6362 2.98081528765e-16
1656.1801 2.59984497323e-16
1657.7239 2.30259402134e-16
1659.2678 2.1086718795e-16
1660.8116 2.00006793836e-16
1662.3555 1.86729289435e-16
1663.8994 1.67113841826e-16
1665.4433 1.49687027878e-16
1666.9872 1.44028239831e-16
1668.5311 1.52080608178e-16
1670.075 1.76545324662e-16
1671.6189 2.10300940619e-16
1673.1629 2.40941025125e-16
1674.7068 2.56035569186e-16
1676.2508 2.52887736441e-16
1677.7947 2.4271067393e-16
1679.3387 2.33113575004e-16
1680.8827 2.23503878434e-16
1682.4267 2.08923608446e-16
1683.9707 1.9540689043e-16
1685.5147 1.84939274219e-16
1687.0587 1.75349187982e-16
1688.6027 1.70695886023e-16
1690.1467 1.72306595086e-16
1691.6908 1.81558339668e-16
1693.2348 1.92444777796e-16
1694.7789 1.98456858856e-16
1696.323 1.99039616769e-16
1697.867 1.9681454651e-16
1699.4111 1.93114239187e-16
1700.9552 1.91093230741e-16
1702.4993 1.89027363807e-16
1704.0434 1.81680450497e-16
1705.5876 1.73214207834e-16
1707.1317 1.60880281728e-16
1708.6758 1.41030591898e-16
1710.22 1.21309997598e-16
1711.7641 1.11030378552e-16
1713.3083 1.14925521462e-16
1714.8525 1.32619130045e-16
1716.3967 1.55580047259e-16
1717.9408 1.71816923803e-16
1719.4851 1.77469718922e-16
1721.0293 1.716032389e-16
1722.5735 1.54510335534e-16
1724.1177 1.31313534298e-16
1725.6619 1.10342602349e-16
1727.2062 9.73437403725e-17
1728.7504 9.45137892991e-17
1730.2947 9.73671059171e-17
1731.839 1.02905346521e-16
1733.3833 1.18933386658e-16
1734.9276 1.41415702356e-16
1736.4719 1.58445209947e-16
1738.0162 1.70029404074e-16
1739.5605 1.81883811596e-16
1741.1048 1.89748421301e-16
1742.6491 1.88404578714e-16
1744.1935 1.76701312562e-16
1745.7378 1.561641781e-16
1747.2822 1.31085683639e-16
1748.8266 1.02787110265e-16
1750.3709 7.96579618776e-17
1751.9153 7.12503947068e-17
1753.4597 7.46664072607e-17
1755.0041 8.13642109079e-17
1756.5485 9.10531888849e-17
1758.093 1.05386577308e-16
1759.6374 1.22178023744e-16
1761.1818 1.38490880355e-16
1762.7263 1.49040014709e-16
1764.2708 1.48110732636e-16
1765.8152 1.33036480601e-16
1767.3597 1.09541708339e-16
1768.9042 8.89160033262e-17
1770.4487 8.05838062318e-17
1771.9932 8.56379671598e-17
1773.5377 9.99448775574e-17
1775.0822 1.19725395833e-16
1776.6267 1.37521556827e-16
1778.1713 1.47204189834e-16
1779.7158 1.46474253007e-16
1781.2604 1.3515896692e-16
1782.8049 1.16668261906e-16
1784.3495 9.60725846616e-17
1785.8941 8.04110054861e-17
1787.4387 7.51870674055e-17
1788.9833 8.09522680423e-17
1790.5279 9.31302538833e-17
1792.0725 1.06108040714e-16
1793.6171 1.14015284419e-16
1795.1618 1.16896816984e-16
1796.7064 1.20134014684e-16
1798.2511 1.22584433978e-16
1799.7957 1.21594890121e-16
1801.3404 1.16492664996e-16
1802.8851 1.08409357716e-16
1804.4298 1.01235411769e-16
1805.9745 9.80365541224e-17
1807.5192 9.99951114334e-17
1809.0639 1.0795625071e-16
1810.6086 1.17313399389e-16
1812.1534 1.2485032306e-16
1813.6981 1.31029325947e-16
1815.2429 1.34519975568e-16
1816.7876 1.33337867149e-16
1818.3324 1.27690895546e-16
1819.8772 1.17344720793e-16
1821.4219 1.01981185966e-16
1822.9667 8.47395097215e-17
1824.5115 6.95948684451e-17
1826.0564 5.99801892948e-17
1827.6012 5.36951988367e-17
1829.146 4.95685963629e-17
1830.6909 5.10439116541e-17
1832.2357 5.94458956504e-17
1833.7806 7.21698315894e-17
1835.3254 8.47177681677e-17
1836.8703 9.25402718848e-17
1838.4152 9.18525140054e-17
1839.9601 8.29781905744e-17
1841.505 6.89890794822e-17
1843.0499 5.57232086224e-17
1844.5948 5.24405528535e-17
1846.1397 6.13036452601e-17
1847.6847 7.57882300792e-17
1849.2296 8.82433667293e-17
1850.7746 9.39191637117e-17
1852.3195 9.37314140319e-17
1853.8645 9.07676399354e-17
1855.4095 8.59535906862e-17
1856.9545 8.10970348317e-17
1858.4995 7.74096200234e-17
1860.0445 7.10395730139e-17
1861.5895 6.24604821225e-17
1863.1345 5.77923716327e-17
1864.6796 5.90297730466e-17
1866.2246 6.32130978703e-17
1867.7697 6.46166960399e-17
1869.3147 6.20176948661e-17
1870.8598 5.75798047788e-17
1872.4049 5.51617695305e-17
1873.95 6.00503182855e-17
1875.4951 7.2849251545e-17
1877.0402 8.87093892241e-17
1878.5853 9.9994442979e-17
1880.1304 1.01934385918e-16
1881.6755 9.42006488468e-17
1883.2207 7.96752637234e-17
1884.7658 6.22836953747e-17
1886.311 4.77325413364e-17
1887.8562 4.05122807e-17
1889.4013 3.98877321937e-17
1890.9465 4.36127672835e-17
1892.4917 5.05126917145e-17
1894.0369 6.05556428632e-17
1895.5821 7.18939390083e-17
1897.1274 8.10333679965e-17
1898.6726 8.50863981284e-17
1900.2178 8.21603050794e-17
1901.7631 7.34165067813e-17
1903.3083 6.36446402093e-17
1904.8536 6.01874518614e-17
1906.3989 6.68300778647e-17
1907.9442 7.80932054987e-17
1909.4894 8.48787217326e-17
1911.0348 8.19608422326e-17
1912.5801 7.07145564914e-17
1914.1254 5.85987550571e-17
1915.6707 5.35803916834e-17
1917.216 5.97854005976e-17
1918.7614 7.33591378204e-17
1920.3067 8.50285106132e-17
1921.8521 9.10910758036e-17
1923.3975 9.29815803067e-17
1924.9429 9.30541884976e-17
1926.4883 9.36100126958e-17
1928.0337 9.35109278241e-17
1929.5791 8.98253580898e-17
1931.1245 8.13379304331e-17
1932.6699 6.79096411923e-17
1934.2153 5.52867412118e-17
1935.7608 5.10490583789e-17
1937.3062 5.61441331377e-17
1938.8517 6.64401186057e-17
1940.3972 7.49152449991e-17
1941.9426 7.71755834742e-17
1943.4881 7.51376004111e-17
1945.0336 7.3117324127e-17
1946.5791 7.30757239651e-17
1948.1246 7.53959461898e-17
1949.6702 7.80236805556e-17
1951.2157 7.7688325565e-17
1952.7612 7.34923836547e-17
1954.3068 6.74808361096e-17
1955.8523 6.23931422931e-17
1957.3979 6.11852831565e-17
1958.9435 6.39708103541e-17
1960.4891 6.90728148368e-17
1962.0347 7.51368040148e-17
1963.5803 8.22407161673e-17
1965.1259 8.97809971369e-17
1966.6715 9.54226485873e-17
1968.2171 9.75297550188e-17
1969.7628 9.35332944932e-17
1971.3084 8.41591914154e-17
1972.8541 7.10284225163e-17
1974.3997 5.66582065565e-17
